,Unnamed: 0,Unnamed: 0.1,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date
370,442,442,Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,0.96,0.7,0.72,0.14,2.54,83.0,150.0,8.7,974.0,"Opus, Project Sora",E10+,"Uprising,Kid Icarus: Uprising,Kid Icarus",3/23/2012
371,444,444,Metal Gear Solid V: Ground Zeroes,PS4,2014.0,Action,Konami Digital Entertainment,1.26,1.2200000000000002,0.6200000000000001,0.44,3.56,,,5.880000000000001,3360.0,Kojima Productions,M,"Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V,MGS,Ground Zeroes",3/18/2014
372,445,445,WWE '12,Xbox 360,2011.0,Fighting,THQ,2.2399999999999998,1.33,0.02,0.44000000000000006,4.05,72.0,138.0,6.175,267.0,Yuke's,T,"WWE '12,WWE",11/22/2011
374,448,448,Need for Speed Rivals,PS3,2013.0,Racing,Electronic Arts,1.53,2.09,0.11,0.54,4.27,77.4,58.0,4.86,1074.0,Ghost Games,E10+,Need for Speed Rivals,11/15/2013
375,449,449,EA Sports Active 2,Wii,2010.0,Sports,Electronic Arts,2.22,1.21,0.0,0.37999999999999995,3.8200000000000003,76.0,57.0,6.75,67.0,EA Canada,E,"EA Sports Active 2,EA Sports Active",11/16/2010
378,452,452,LittleBigPlanet PS Vita,Vita,2012.0,Platform,Sony Computer Entertainment,0.7,1.22,0.04,0.54,2.5,88.0,142.0,8.6,696.0,"Tarsier Studios, Double Eleven",E,LittleBigPlanet PS Vita,9/19/2012
380,458,458,LEGO The Lord of the Rings,Xbox 360,2012.0,Action,Warner Bros. Interactive Entertainment,2.4899999999999998,2.23,0.0,0.6000000000000001,5.3,,,7.700000000000001,424.0,TT Games,E10+,LEGO The Lord of the Rings,10/30/2012
381,459,459,Hyrule Warriors,Wii U,2014.0,Action,Nintendo,1.16,0.84,0.26,0.2,2.46,76.0,162.0,8.3,1324.0,Omega Force,T,Hyrule Warriors,9/26/2014
382,462,462,Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,Capcom,1.1,0.88,0.28,0.18,2.42,85.0,138.0,8.1,412.0,Capcom,T,"3D Edition,SFV,Super Street Fighter IV,Street Fighter,Super Street Fighter IV: 3D Edition",3/25/2011
383,463,463,WWE 2K16,PS4,2015.0,Sports,Take-Two Interactive,1.63,1.75,0.0,0.5700000000000001,3.9499999999999997,,,6.38,595.0,Yuke's,T,"WWE,WWE 2K16",10/27/2015
384,464,464,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010.0,Fighting,Namco Bandai Games,1.27,1.19,0.31,0.43,3.2,75.33333333333333,99.0,8.366666666666667,299.0,CyberConnect2,T,"Naruto Shippuden: Ultimate Ninja Storm 2,Naruto Shippuden,Naruto Shippuden: Ultimate Ninja Storm,Ultimate Ninja Storm 2,Naruto",10/19/2010
388,470,470,Captain Toad: Treasure Tracker,Wii U,2014.0,Puzzle,Nintendo,1.06,0.76,0.38,0.18,2.38,81.0,156.0,8.6,754.0,Nintendo EAD Tokyo,E,"Captain Toad: Treasure Tracker,Captain Toad,Treasure Tracker",12/5/2014
392,476,476,Resident Evil: Operation Raccoon City,PS3,2012.0,Action,Capcom,1.51,0.62,0.75,0.26,3.11,52.0,128.0,4.9,774.0,Slant Six,M,"Operation Raccoon City,Resident Evil: Operation Raccoon City,Resident Evil",3/20/2012
394,479,479,Grand Theft Auto V,Windows,2015.0,Action,Take-Two Interactive,0.78,1.38,0.0,0.18,2.34,96.0,114.0,7.9,7512.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",4/14/2015
398,486,486,WWE 2K15,PS4,2014.0,Sports,Take-Two Interactive,1.81,1.8599999999999999,0.0,0.6200000000000001,4.29,57.0,123.0,4.6,513.0,Yuke's,T,"WWE 2K15,WWE",10/28/2014
399,487,487,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,1.62,1.29,0.0,0.48,3.3899999999999997,74.33333333333333,87.0,7.566666666666666,342.0,Yuke's,T,"WWE 2K14,WWE",10/29/2013
400,489,489,Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action,Take-Two Interactive,1.47,1.28,0.13999999999999999,0.45999999999999996,3.3499999999999996,,,7.466666666666666,52.0,Rockstar San Diego,M,"Red Dead Redemption: Undead Nightmare,Red Dead Redemption,Red Dead,Undead Nightmare",10/26/2010
401,491,491,Sunset Overdrive,Xbox One,2014.0,Shooter,Microsoft Game Studios,1.26,0.8,0.0,0.2,2.28,81.0,178.0,7.7,2274.0,Insomniac Games,M,Sunset Overdrive,10/28/2014
402,492,492,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,Namco Bandai Games,1.03,0.97,0.22,0.37,2.5799999999999996,79.66666666666667,131.0,8.299999999999999,453.0,CyberConnect2,T,"Naruto Shippuden,Ultimate Ninja Storm 4,Naruto Shippuden: Ultimate Ninja Storm,Naruto Shippuden: Ultimate Ninja Storm 4,Naruto",2/9/2016
403,493,493,Watch Dogs 2,PS4,2016.0,Action,Ubisoft,0.91,1.3199999999999998,0.0,0.39,2.6199999999999997,83.0,185.0,7.766666666666667,1373.0,Ubisoft Montreal,M,"Watch Dogs,Watch Dogs 2",11/15/2016
405,495,495,Alien: Isolation,PS4,2014.0,Shooter,Sega,1.17,1.64,0.08,0.45,3.38,,,8.1,2128.0,Creative Assembly,M,"Alien: Isolation,Alien,Isolation",10/7/2014
406,498,498,ModNation Racers,PS3,2010.0,Racing,Sony Computer Entertainment,1.11,1.06,0.13999999999999999,0.46,2.7700000000000005,79.0,192.0,8.166666666666666,424.0,United Front Games,E,ModNation Racers,5/25/2010
407,502,502,Crackdown 2,Xbox 360,2010.0,Shooter,Microsoft Game Studios,1.26,0.72,0.04,0.2,2.24,70.0,182.0,6.0,404.0,Ruffian Games,M,"Crackdown 2,Crackdown",7/9/2010
408,503,503,Dragon Age II,Xbox 360,2011.0,Action,Electronic Arts,2.07,1.17,0.07,0.37,3.68,80.5,247.0,4.45,10490.0,BioWare,M,"Dragon Age,Dragon Age II",3/8/2011
409,504,504,Fight Night Champion,PS3,2011.0,Fighting,Electronic Arts,1.3,1.29,0.0,0.43,3.0,84.66666666666667,163.0,7.333333333333333,295.0,EA Canada,M,Fight Night Champion,3/1/2011
410,505,505,Pikmin 3,Wii U,2013.0,Strategy,Nintendo,0.88,0.64,0.58,0.14,2.22,87.0,158.0,8.7,1328.0,Nintendo,E10+,"Pikmin 3,Pikmin",8/4/2013
412,507,507,Dragon Ball: XenoVerse,PS4,2015.0,Fighting,Namco Bandai Games,1.1099999999999999,1.32,0.38,0.43000000000000005,3.26,,,7.279999999999999,1432.0,Dimps Corporation,T,"Dragon Ball: XenoVerse,Dragon Ball,XenoVerse,Dragonball",2/24/2015
413,508,508,Castlevania: Lords of Shadow,PS3,2010.0,Action,Konami Digital Entertainment,1.42,0.87,0.21000000000000002,0.35,2.8600000000000003,84.33333333333333,194.0,7.933333333333334,1173.0,Mercury Steam,M,"Castlevania: Lords of Shadow,Lords of Shadow,Castlevania",10/5/2010
414,509,509,Plants vs. Zombies,DS,2011.0,Strategy,Mastertronic,1.8,0.24,0.0,0.16,2.2,81.0,46.0,7.4,58.0,TOSE,E10+,Plants vs. Zombies,1/18/2011
416,512,512,NCAA Football 14,Xbox 360,2013.0,Sports,Electronic Arts,2.77,0.0,0.0,0.25,3.02,77.0,45.0,5.933333333333334,188.0,EA Tiburon,E,"NCAA Football 14,NCAA Football",7/9/2013
417,513,513,Project CARS,PS4,2015.0,Racing,Slightly Mad Studios,0.51,1.5299999999999998,0.04,0.34,2.4400000000000004,82.33333333333333,90.0,6.333333333333333,861.0,Slightly Mad Studios,E,Project CARS,5/6/2015
418,514,514,Sonic Free Riders,Xbox 360,2010.0,Racing,Sega,1.48,0.5,0.0,0.18,2.18,47.0,104.0,2.1,196.0,Sega,E,"Sonic Free Riders,Sonic",11/4/2010
419,515,515,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,2.0700000000000003,1.78,0.02,0.72,4.6,,,5.983333333333333,,Yuke's,T,"WWE SmackDown vs. Raw,WWE SmackDown vs. Raw 2011,WWE",10/26/2010
421,517,517,NCAA Football 13,Xbox 360,2012.0,Action,Electronic Arts,2.86,0.0,0.0,0.21000000000000002,3.0700000000000003,77.0,49.0,5.033333333333333,164.0,EA Tiburon,E,"NCAA Football 13,NCAA Football",7/10/2012
423,520,520,Final Fantasy XIV: A Realm Reborn,PS3,2013.0,Role-Playing,Square Enix,0.74,0.6,0.56,0.26,2.16,,,,,,,"A Realm Reborn,Final Fantasy XIV,Final Fantasy XIV: A Realm Reborn,Final Fantasy",8/27/2013
424,521,521,Forza Horizon 3,Xbox One,2016.0,Racing,Microsoft Game Studios,0.84,1.16,0.0,0.16,2.16,91.0,180.0,7.4,1188.0,Playground Games,E,"Forza Horizon,Forza Horizon 3",9/27/2016
425,522,522,Disney Infinity 2.0: Marvel Super Heroes,Xbox 360,2014.0,Action,Disney Interactive Studios,2.63,1.63,0.0,0.56,4.82,,,,,,,"Disney Infinity 2.0: Marvel Super Heroes,Marvel,Disney Infinity 2.0,Marvel Super Heroes",9/23/2014
426,523,523,Plants vs. Zombies: Garden Warfare,Xbox 360,2014.0,Shooter,Electronic Arts,1.4100000000000001,1.17,0.0,0.24,2.85,71.33333333333333,77.0,7.333333333333333,680.0,PopCap,E10+,"Garden Warfare,Plants vs. Zombies: Garden Warfare,Plants vs. Zombies",2/25/2014
432,532,532,LEGO Marvel Super Heroes,Xbox One,2013.0,Action,Warner Bros. Interactive Entertainment,1.22,0.7,0.0,0.18,2.12,,,6.8,146.0,TT Games,E10+,"Marvel,LEGO Marvel Super Heroes",11/22/2013
434,535,535,EA Sports UFC,PS4,2014.0,Sports,Electronic Arts,1.22,0.94,0.02,0.38,2.5700000000000003,70.0,137.0,6.166666666666667,710.0,EA Sports,T,EA Sports UFC,6/17/2014
436,541,541,UFC Undisputed 3,PS3,2012.0,Action,THQ,1.82,0.8400000000000001,0.06,0.34,3.05,85.66666666666667,120.0,7.466666666666666,272.0,Yuke's,T,"UFC Undisputed 3,UFC Undisputed",2/14/2012
439,546,546,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,1.9500000000000002,0.92,0.0,0.34,3.2199999999999998,64.5,82.0,6.05,36.0,Eurocom Entertainment Software,E10+,Disney Universe,10/25/2011
440,547,547,Dance on Broadway,Wii,2010.0,Misc,Ubisoft,0.5,1.3,0.0,0.24,2.04,48.0,12.0,3.3,8.0,Longtail Studios,E10+,Dance on Broadway,6/15/2010
441,548,548,Bulletstorm,Xbox 360,2011.0,Shooter,Electronic Arts,1.52,0.9100000000000001,0.03,0.26,2.7300000000000004,83.25,257.0,7.6499999999999995,1934.0,"Epic Games, People Can Fly",M,Bulletstorm,2/22/2011
443,550,550,Sonic Generations,3DS,2011.0,Platform,Sega,0.88,0.94,0.02,0.18,2.04,66.0,58.0,6.9,216.0,"Sega, Dimps Corporation",E,"Sonic Generations,Sonic",11/22/2011
444,551,551,Pokemon Conquest,DS,2012.0,Role-Playing,Nintendo,1.12,0.1,0.74,0.08,2.04,80.0,80.0,8.2,178.0,Koei,E,"Pokemon Conquest,Pokemon",6/18/2012
446,555,555,ZombiU,Wii U,2012.0,Action,Ubisoft,1.04,0.72,0.1,0.16,2.02,77.0,140.0,7.7,1516.0,Ubisoft Montpellier,M,ZombiU,11/18/2012
447,557,557,God of War: Ghost of Sparta,PSP,2010.0,Action,Sony Computer Entertainment,0.82,0.7,0.06,0.42,2.0,86.0,146.0,8.4,510.0,Ready at Dawn,M,"God of War: Ghost of Sparta,God of War,Ghost of Sparta",11/2/2010
448,558,558,Rayman Origins,PS3,2011.0,Platform,Ubisoft,1.25,1.57,0.02,0.48000000000000004,3.33,88.25,154.0,8.325,812.0,UBlart Montpellier,E10+,Rayman Origins,11/15/2011
450,560,560,NCAA Football 12,Xbox 360,2011.0,Sports,Electronic Arts,2.66,0.0,0.0,0.16999999999999998,2.81,82.0,67.0,6.333333333333333,139.0,EA Sports,E,"NCAA Football 12,NCAA Football",7/12/2011
452,562,562,Kirby: Mass Attack,DS,2011.0,Platform,Nintendo,0.96,0.12,0.82,0.1,1.98,83.0,92.0,8.6,110.0,HAL Labs,E,"Kirby: Mass Attack,Mass Attack,Kirby",10/28/2011
454,566,566,Dead Space 3,Xbox 360,2013.0,Action,Electronic Arts,1.72,0.88,0.0,0.32,2.92,77.33333333333333,173.0,6.400000000000001,1910.0,Visceral Games,M,"Dead Space 3,Dead Space",2/5/2013
455,567,567,Rocksmith 2014,PS3,2013.0,Misc,Ubisoft,2.11,0.88,0.1,0.47000000000000003,3.55,,,,,,,"Rocksmith 2014,Rocksmith",10/22/2013
456,568,568,Tom Clancy's Splinter Cell: Blacklist,Xbox 360,2013.0,Action,Ubisoft,1.56,1.2300000000000002,0.08,0.33,3.21,81.0,161.0,7.58,1982.0,Ubisoft Toronto,M,"Tom Clancy's,Tom Clancy's Splinter Cell,Tom Clancy's Splinter Cell: Blacklist,Blacklist",8/20/2013
462,578,578,Guitar Hero: Warriors of Rock,Wii,2010.0,Misc,Activision,1.74,1.4500000000000002,0.0,0.39,3.59,75.0,163.0,7.15,115.0,"Vicarious Visions, Neversoft Entertainment",T,"Guitar Hero: Warriors of Rock,Guitar Hero,Warriors of Rock",9/28/2010
463,580,580,Sniper Elite V2,PS3,2012.0,Shooter,505 Games,1.22,1.04,0.13999999999999999,0.35000000000000003,2.76,69.0,79.0,6.866666666666667,315.0,Rebellion,M,Sniper Elite V2,5/2/2012
464,581,581,Mario Tennis Open,3DS,2012.0,Sports,Nintendo,0.52,0.58,0.68,0.1,1.9,69.0,116.0,6.9,220.0,Camelot Software Planning,E,"Mario Tennis Open,Mario",5/20/2012
465,582,582,PilotWings Resort,3DS,2011.0,Simulation,Nintendo,0.8,0.72,0.26,0.14,1.9,71.0,128.0,7.4,176.0,Monster Games Inc.,E,PilotWings Resort,3/27/2011
467,584,584,PlayStation All-Stars Battle Royale,PS3,2012.0,Action,Sony Computer Entertainment,1.21,0.68,0.09,0.39,2.35,74.33333333333333,153.0,7.366666666666667,1301.0,SuperBot Entertainment,T,PlayStation All-Stars Battle Royale,11/20/2012
468,585,585,Epic Mickey 2: The Power of Two,Wii,2012.0,Action,Disney Interactive Studios,1.4700000000000002,0.49,0.01,0.16,2.13,,,,,,,"Epic Mickey 2: The Power of Two,The Power of Two,Epic Mickey 2,Epic Mickey 2: The Power of",12/13/2012
469,586,586,Pro Evolution Soccer 2014,PS3,2013.0,Action,Konami Digital Entertainment,0.13,0.97,1.02,0.02,2.1399999999999997,78.66666666666667,101.0,4.166666666666667,719.0,Konami,E,"Pro Evolution Soccer,Pro Evolution Soccer 2014",9/24/2013
471,588,588,Driver: San Francisco,PS3,2011.0,Racing,Ubisoft,0.8400000000000001,1.6000000000000003,0.02,0.48,2.94,76.4,187.0,7.24,700.0,Ubisoft Reflections,T,"Driver: San Francisco,San Francisco,Driver",9/6/2011
472,589,589,Army of Two: The 40th Day,Xbox 360,2010.0,Shooter,Electronic Arts,1.7999999999999998,0.88,0.01,0.38,3.07,67.25,225.0,6.9,372.0,EA Montreal,M,"Army of Two,Army of Two: The 40th Day,The 40th Day",1/12/2010
474,591,591,Just Dance 2016,Wii,2015.0,Misc,Ubisoft,1.8399999999999999,1.45,0.0,0.3600000000000001,3.6599999999999993,,,4.999999999999999,,Ubisoft,E10+,"Just Dance,Just Dance 2016",10/20/2015
475,592,592,Skylanders: Trap Team,Wii,2014.0,Action,Activision,2.6100000000000003,2.1,0.0,0.54,5.250000000000001,,,,,Toys for Bob,E10+,"Trap Team,Skylanders,Skylanders: Trap Team",10/5/2014
476,593,593,Lost Planet 2,PS3,2010.0,Shooter,Capcom,0.96,0.89,0.48000000000000004,0.32,2.66,,,,,Capcom,T,"Lost Planet 2,Lost Planet",5/11/2010
482,601,601,Rise of the Tomb Raider,PS4,2016.0,Adventure,Square Enix,0.46,1.06,0.08,0.28,1.88,,,,,,,"Rise of the Tomb Raider,Tomb Raider",10/11/2016
483,602,602,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013.0,Fighting,Namco Bandai Games,0.9299999999999999,0.8,0.31,0.35,2.37,74.66666666666667,80.0,7.833333333333333,441.0,CyberConnect2,T,"Ultimate Ninja Storm 3,Naruto Shippuden,Naruto Shippuden: Ultimate Ninja Storm,Naruto,Naruto Shippuden: Ultimate Ninja Storm 3",3/5/2013
484,603,603,EA Sports UFC 2,PS4,2016.0,Sports,Electronic Arts,0.82,1.12,0.0,0.33999999999999997,2.27,78.0,118.0,6.133333333333333,391.0,EA Sports,T,"EA Sports UFC 2,EA Sports UFC",3/15/2016
486,607,607,Lego Batman 3: Beyond Gotham,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,2.25,2.18,0.0,0.6900000000000002,5.12,,,6.987500000000001,250.0,TT Games,E10+,"Batman,Lego Batman 3,Beyond Gotham,Lego Batman 3: Beyond Gotham",11/11/2014
488,610,610,Assassin's Creed III,Windows,2012.0,Action,Ubisoft,0.56,1.06,0.0,0.24,1.86,80.0,42.0,6.2,2978.0,Ubisoft,M,"Assassin's Creed,Assassin's Creed III",11/20/2012
490,613,613,NCAA Football 11,Xbox 360,2010.0,Sports,Electronic Arts,2.6999999999999997,0.15,0.0,0.22999999999999998,3.07,,,5.4,,EA Tiburon,E,"NCAA Football 11,NCAA Football",7/13/2010
491,614,614,Monster High: Ghoul Spirit,DS,2011.0,Misc,THQ,1.7999999999999998,0.39,0.0,0.18000000000000002,2.37,,,0.0,,ImaginEngine,E,"Monster High,Ghoul Spirit,Monster High: Ghoul Spirit",10/25/2011
492,615,615,MLB 15: The Show,PS4,2015.0,Sports,Sony Computer Entertainment,1.6800000000000002,0.17,0.0,0.41000000000000003,2.2399999999999998,,,8.149999999999999,391.0,SCEA San Diego Studios,E,"The Show,MLB 15: The Show,MLB 15",3/31/2015
493,616,616,South Park: The Stick of Truth,PS3,2014.0,Role-Playing,Ubisoft,1.51,1.04,0.0,0.42000000000000004,2.95,84.25,143.0,8.5,3252.0,Obsidian Entertainment,M,"South Park: The Stick of Truth,The Stick of Truth,South Park",3/4/2014
495,618,618,MLB 12: The Show,PS3,2012.0,Sports,Sony Computer Entertainment,1.89,0.0,0.0,0.13999999999999999,2.0300000000000002,83.33333333333333,61.0,7.6000000000000005,192.0,SCEA San Diego Studios,E,"The Show,MLB 12,MLB 12: The Show",3/6/2012
496,620,620,Wii Play: Motion,Wii,2011.0,Misc,Nintendo,0.46,0.84,0.36,0.18,1.84,60.0,68.0,6.1,32.0,Nintendo,E10+,"Wii Play: Motion,Wii Play,Motion",6/13/2011
497,621,621,Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,Marvelous Entertainment,0.82,0.34,0.6,0.1,1.82,74.0,42.0,8.2,124.0,Marvelous AQL,E,"Harvest Moon 3D: A New Beginning,Harvest Moon 3D,A New Beginning",10/19/2012
499,624,624,Injustice: Gods Among Us,PS4,2013.0,Fighting,Warner Bros. Interactive Entertainment,1.01,0.6,0.0,0.35,1.9500000000000002,,,,,,,"Injustice,Gods Among Us,Injustice: Gods Among Us",11/12/2013
501,629,629,Street Fighter V,PS4,2016.0,Fighting,Capcom,0.8,0.56,0.16,0.28,1.8,77.0,160.0,3.4,2442.0,Capcom,T,"Street Fighter V,SFV,Street Fighter",2/16/2016
503,631,631,Crysis 3,Xbox 360,2013.0,Shooter,Electronic Arts,1.45,1.4300000000000002,0.05,0.39,3.3,76.25,160.0,6.55,2199.0,Crytek,M,"Crysis 3,Crysis",2/19/2013
505,633,633,The Witcher 2: Assassins of Kings,Xbox 360,2012.0,Action,Namco Bandai Games,0.96,0.64,0.04,0.16,1.8,88.0,164.0,8.3,1636.0,CD Projekt Red Studio,M,"The Witcher 2: Assassins of Kings,Witcher,Assassins of Kings,The Witcher 2",4/17/2012
506,636,636,The Elder Scrolls Online,Windows,2014.0,Role-Playing,Bethesda Softworks,0.64,1.02,0.0,0.14,1.8,71.0,128.0,5.7,4842.0,ZeniMax Media,M,"Elder Scrolls,The Elder Scrolls Online",4/4/2014
511,643,643,SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Shooter,Sony Computer Entertainment,1.32,0.22,0.08,0.16,1.78,67.0,128.0,6.3,242.0,Zipper Interactive,M,"U.S. Navy SEALs,SOCOM 4: U.S. Navy SEALs,SOCOM 4",4/19/2011
512,646,646,MLB 16: The Show,PS4,2016.0,Action,Sony Computer Entertainment,1.5999999999999999,0.0,0.0,0.38,1.97,,,,,,,"MLB 16: The Show,The Show,MLB 16",3/29/2016
514,648,648,Tiger Woods PGA Tour 12: The Masters,PS3,2011.0,Sports,Electronic Arts,1.64,0.77,0.0,0.30000000000000004,2.7399999999999998,81.25,146.0,6.85,66.0,Electronic Arts,E,"The Masters,Tiger Woods PGA Tour 12: The Masters,Tiger Woods PGA Tour 12",3/29/2011
515,649,649,The Jak and Daxter Collection,PS3,2012.0,Platform,Sony Computer Entertainment,1.2,0.36,0.0,0.22,1.78,,,,,,,The Jak and Daxter Collection,2/22/2012
517,651,651,The Tomb Raider Trilogy,PS3,2011.0,Action,Square Enix,0.54,0.92,0.0,0.3,1.76,78.0,74.0,8.1,120.0,Crystal Dynamics,T,"The Tomb Raider Trilogy,Tomb Raider",3/22/2011
518,653,653,Minecraft: Story Mode,Xbox 360,2015.0,Adventure,Mojang,1.8,1.57,0.0,0.44,3.79,,,,,,,"Minecraft,Minecraft: Story Mode,Story Mode",10/13/2015
519,654,654,Dissidia 012: Duodecim Final Fantasy,PSP,2011.0,Fighting,Square Enix,0.42,0.24,0.92,0.16,1.76,78.0,104.0,8.3,288.0,Square Enix,T,"Dissidia 012: Duodecim Final Fantasy,Duodecim Final Fantasy,Final Fantasy,Dissidia 012",3/22/2011
521,656,656,Resident Evil: Revelations,3DS,2012.0,Action,Capcom,0.6,0.44,0.6,0.1,1.76,82.0,156.0,8.5,794.0,Capcom,M,"Revelations,Resident Evil: Revelations,Resident Evil",2/7/2012
522,657,657,Rock Band 3,Xbox 360,2010.0,Misc,MTV Games,2.4899999999999998,0.33,0.0,0.22000000000000003,3.05,89.4,166.0,7.359999999999999,411.0,Harmonix Music Systems,T,"Rock Band 3,Rock Band",10/26/2010
524,659,659,Borderlands: The Handsome Collection,PS4,2015.0,Shooter,Take-Two Interactive,1.02,0.79,0.06,0.32,2.19,81.33333333333333,109.0,7.8,809.0,Gearbox Software,M,"The Handsome Collection,Borderlands: The Handsome Collection,Borderlands",3/24/2015
525,661,661,Kingdoms of Amalur: Reckoning,Xbox 360,2012.0,Role-Playing,Electronic Arts,1.6100000000000003,0.9,0.11,0.28,2.8899999999999997,80.5,201.0,7.4,2365.0,Big Huge Games,M,"Reckoning,Kingdoms of Amalur: Reckoning,Kingdoms of Amalur",2/7/2012
526,662,662,Michael Jackson: The Experience,Xbox 360,2011.0,Misc,Ubisoft,1.49,0.55,0.0,0.22000000000000003,2.26,64.0,73.0,7.333333333333333,74.0,Ubisoft Montreal,E10+,"The Experience,Michael Jackson,Michael Jackson: The Experience",4/12/2011
527,663,663,LittleBigPlanet Karting,PS3,2012.0,Action,Sony Computer Entertainment,0.84,0.6,0.02,0.3,1.74,73.0,138.0,6.9,318.0,"Media Molecule, United Front Games",E,LittleBigPlanet Karting,11/6/2012
529,666,666,Guitar Hero Live,PS4,2015.0,Misc,Activision,1.3400000000000003,1.2100000000000002,0.0,0.41000000000000003,2.96,,,5.7,466.0,FreeStyleGames,T,"Guitar Hero Live,Guitar Hero",10/20/2015
532,674,674,Wii Fit U,Wii U,2013.0,Sports,Nintendo,0.7,0.46,0.42,0.1,1.7,72.0,38.0,7.7,144.0,Nintendo,E,Wii Fit U,11/1/2013
535,677,677,Darksiders II,PS3,2012.0,Action,THQ,1.18,1.07,0.02,0.37000000000000005,2.6199999999999997,83.0,164.0,7.5,1953.0,Vigil Games,M,"Darksiders II,Darksiders",8/14/2012
536,679,679,Xenoblade Chronicles X,Wii U,2015.0,Role-Playing,Nintendo,0.72,0.56,0.28,0.12,1.68,84.0,174.0,8.9,3096.0,Monolith Soft,T,"Xenoblade Chronicles X,Xenoblade Chronicles",12/4/2015
540,683,683,Duke Nukem Forever,Xbox 360,2011.0,Shooter,Take-Two Interactive,1.55,0.9800000000000001,0.0,0.32,2.83,50.75,248.0,4.8500000000000005,2373.0,"Gearbox Software, 3D Realms",M,Duke Nukem Forever,6/10/2011
542,685,685,Tiger Woods PGA Tour 11,PS3,2010.0,Sports,Electronic Arts,1.25,1.1,0.0,0.37,2.72,79.75,160.0,7.375000000000001,76.0,EA Sports,E,"Tiger Woods PGA Tour 11,Tiger Woods PGA Tour",6/8/2010
543,686,686,Street Fighter X Tekken,PS3,2012.0,Fighting,Capcom,1.25,0.56,0.24000000000000002,0.25,2.32,82.5,172.0,5.625,625.0,Capcom,T,"Street Fighter X Tekken,SFV,Street Fighter",3/6/2012
545,689,689,Call of Duty: Modern Warfare 3,Wii,2011.0,Shooter,Activision,1.1,0.4,0.0,0.16,1.64,70.0,32.0,1.8,884.0,"Treyarch, Sledgehammer Games",M,"Modern Warfare 3,Call of Duty: Modern Warfare,CoD,Call of Duty,Call of Duty: Modern Warfare 3",11/23/2011
546,691,691,DJ Hero 2,Xbox 360,2010.0,Misc,Activision,2.23,0.52,0.0,0.26,3.01,86.5,198.0,7.775,85.0,FreeStyleGames,T,"DJ Hero,DJ Hero 2",10/19/2010
547,695,695,Dance Central 3,Xbox 360,2012.0,Misc,Microsoft Game Studios,1.14,0.36,0.0,0.12,1.62,86.0,86.0,8.0,90.0,Harmonix Music Systems,T,"Dance Central,Dance Central 3",10/16/2012
548,696,696,Twisted Metal (2012),PS3,2012.0,Action,Sony Computer Entertainment,1.34,0.14,0.0,0.16,1.62,,,,,,,"Twisted Metal (2012),Twisted Metal",2/14/2012
551,701,701,Killzone: Mercenary,Vita,2013.0,Shooter,Sony Computer Entertainment Europe,0.4,0.78,0.08,0.34,1.6,78.0,172.0,8.9,1026.0,Guerilla Cambridge,M,"Killzone,Mercenary,Killzone: Mercenary",9/10/2013
552,704,704,pro evolution soccer 2011,PSP,2010.0,Sports,Konami Digital Entertainment,0.1,0.6,0.58,0.32,1.58,74.0,20.0,5.8,10.0,Konami,E,"pro evolution soccer,pro evolution soccer 2011",11/2/2010
553,705,705,DmC: Devil May Cry,PS3,2013.0,Action,Capcom,0.74,0.64,0.39,0.24000000000000002,2.02,85.33333333333333,145.0,5.233333333333333,4380.0,Ninja Theory,M,"Devil May Cry,DMC,DmC,DmC: Devil May Cry",1/15/2013
554,706,706,EA Sports Active NFL Training Camp,Wii,2010.0,Sports,Electronic Arts,1.5,0.0,0.0,0.1,1.58,,,0.0,,EA Sports,E,EA Sports Active NFL Training Camp,11/16/2010
557,709,709,[Prototype 2],Xbox 360,2012.0,Action,Activision,1.39,0.79,0.0,0.25,2.43,75.75,189.0,6.800000000000001,914.0,Radical Entertainment,M,[Prototype 2],7/24/2012
559,711,711,Pro Evolution Soccer 2016,PS4,2015.0,Sports,Konami Digital Entertainment,0.42999999999999994,1.07,0.41000000000000003,0.26,2.19,,,6.919999999999999,1578.0,Konami,E,"Pro Evolution Soccer,Pro Evolution Soccer 2016",9/15/2015
560,713,713,Rare Replay,Xbox One,2015.0,Misc,Microsoft Game Studios,0.98,0.44,0.02,0.14,1.58,84.0,150.0,7.7,650.0,Rare Ltd.,M,Rare Replay,8/4/2015
