,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date
385,385,Metal Gear Rising: Revengeance,PS3,2013.0,Action,Konami Digital Entertainment,0.45,0.37,0.44,0.16,1.42,80.0,61.0,7.9,746.0,PlatinumGames,M,"MGS,Metal Gear Rising: Revengeance,Revengeance,Metal Gear Rising",2/19/2013
387,387,UFC Undisputed 2010,PS3,2010.0,Fighting,THQ,0.8,0.4,0.02,0.18,1.41,85.0,54.0,7.2,48.0,Yuke's,T,"UFC Undisputed,UFC Undisputed 2010",5/25/2010
388,388,Medal of Honor: Warfighter,PS3,2012.0,Action,Electronic Arts,0.48,0.62,0.06,0.26,1.41,55.0,22.0,6,250.0,Danger Close,M,"Warfighter,Medal of Honor,Medal of Honor: Warfighter",10/23/2012
389,389,The Sims 3,Wii,2010.0,Simulation,Electronic Arts,0.57,0.69,0.0,0.14,1.41,,,2.5,31.0,The Sims Studio,T,"The Sims,The Sims 3,Sims",11/15/2010
390,390,Diablo III,Xbox 360,2013.0,Role-Playing,Activision,0.9,0.39,0.0,0.12,1.41,87.0,42.0,6.6,384.0,Blizzard Entertainment,M,"Diablo III,Diablo",9/3/2013
391,391,Tomb Raider (2013),PS4,2014.0,Action,Square Enix,0.47,0.65,0.06,0.22,1.4,,,,,,,"Tomb Raider,Tomb Raider (2013)",1/28/2014
392,392,Forza Horizon 2,Xbox One,2014.0,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86.0,85.0,8.2,977.0,Playground Games,E10+,"Forza Horizon,Forza Horizon 2",9/30/2014
393,393,Injustice: Gods Among Us,Xbox 360,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.97,0.3,0.0,0.11,1.38,81.0,63.0,7.9,362.0,NetherRealm Studios,T,"Injustice,Gods Among Us,Injustice: Gods Among Us",4/16/2013
394,394,Yoshi's New Island,3DS,2014.0,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,64.0,71.0,6.1,155.0,Arzest,E,Yoshi's New Island,3/14/2014
395,395,LEGO Batman 2: DC Super Heroes,Wii,2012.0,Action,Warner Bros. Interactive Entertainment,0.9,0.37,0.0,0.11,1.38,,,7.1,12.0,TT Games,E10+,"Batman,DC Super Heroes,LEGO Batman 2: DC Super Heroes,LEGO Batman 2",6/19/2012
396,396,Toy Story 3: The Video Game,Wii,2010.0,Action,Disney Interactive Studios,0.63,0.62,0.0,0.14,1.38,,,,,,,"Toy Story 3: The Video Game,Toy Story 3,The Video Game",6/15/2010
399,399,Mortal Kombat X,Xbox One,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0.0,0.14,1.38,86.0,21.0,7.3,279.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M,"Mortal Kombat,Mortal Kombat X",4/14/2015
400,400,Rise of the Tomb Raider,Xbox One,2015.0,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86.0,102.0,8,1288.0,Crystal Dynamics,M,"Rise of the Tomb Raider,Tomb Raider",11/10/2015
401,401,Sonic Generations,Xbox 360,2011.0,Platform,Sega,0.71,0.53,0.0,0.13,1.38,77.0,49.0,8.3,340.0,"Sega, Sonic Team",E,"Sonic Generations,Sonic",11/1/2011
402,402,Deus Ex: Human Revolution,Xbox 360,2011.0,Shooter,Square Enix,0.76,0.47,0.02,0.12,1.37,89.0,70.0,8.3,684.0,Eidos Montreal,M,"Deus Ex,Deus Ex: Human Revolution,Human Revolution",8/23/2011
403,403,Call of Duty: Black Ops,Wii,2010.0,Shooter,Activision,0.8,0.45,0.0,0.12,1.37,80.0,25.0,5.8,87.0,Treyarch,M,"Black Ops,Call of Duty: Black Ops,Call of Duty,CoD",11/9/2010
404,404,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.59,0.07,0.22,1.37,89.0,50.0,8.2,682.0,Eidos Montreal,M,"Deus Ex,Deus Ex: Human Revolution,Human Revolution",8/23/2011
405,405,Dead Rising 2,PS3,2010.0,Action,Capcom,0.43,0.56,0.15,0.21,1.36,80.0,54.0,6.7,178.0,Blue Castle Games,M,"Dead Rising 2,Dead Rising",9/28/2010
406,406,Need for Speed: The Run,Xbox 360,2011.0,Action,Electronic Arts,0.63,0.57,0.0,0.15,1.36,68.0,65.0,6,160.0,Black Box,T,"Need for Speed,Need for Speed: The Run,The Run",11/15/2011
407,407,Titanfall,Xbox 360,2014.0,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,83.0,21.0,5.9,371.0,Bluepoint Games,M,Titanfall,4/8/2014
408,408,WWE '13,PS3,2012.0,Action,THQ,0.51,0.6,0.0,0.25,1.35,76.0,24.0,8.1,99.0,THQ,T,"WWE '13,WWE",10/30/2012
409,409,Middle-Earth: Shadow of Mordor,Xbox One,2014.0,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87.0,12.0,8,585.0,Monolith Productions,M,"Middle-Earth: Shadow of Mordor,Middle-Earth,Shadow of Mordor",9/30/2014
410,410,Battlefield 4,Windows,2013.0,Shooter,Electronic Arts,0.39,0.87,0.0,0.1,1.35,81.0,52.0,6,3517.0,EA DICE,M,"Battlefield,Battlefield 4",10/29/2013
411,411,Gears of War 4,Xbox One,2016.0,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35,84.0,96.0,6.2,815.0,The Coalition,M,"Gears,Gears of War 4,Gears of War",10/7/2016
412,412,Metroid: Other M,Wii,2010.0,Action,Nintendo,0.85,0.27,0.13,0.1,1.34,79.0,71.0,6.5,482.0,Team Ninja,T,"Metroid,Metroid: Other M,Other M",8/31/2010
413,413,Crysis 2,Xbox 360,2011.0,Action,Electronic Arts,0.71,0.49,0.02,0.12,1.34,84.0,72.0,7.5,533.0,Crytek,M,"Crysis 2,Crysis",3/22/2011
414,414,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011.0,Fighting,Capcom,0.81,0.28,0.11,0.14,1.34,84.0,56.0,7.3,147.0,Capcom,T,"Marvel vs. Capcom 3: Fate of Two Worlds,Marvel,Marvel vs. Capcom 3,Fate of Two Worlds",2/15/2011
415,415,Tom Clancy's Rainbow Six: Siege,Xbox One,2015.0,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,74.0,24.0,6.9,252.0,Ubisoft Montreal,M,"Siege,Tom Clancy's Rainbow Six: Siege,Tom Clancy's,Tom Clancy's Rainbow Six",12/1/2015
417,417,NBA 2K15,PS3,2014.0,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,,,3.5,22.0,Visual Concepts,E,"NBA 2K15,NBA",10/7/2014
418,418,Alan Wake,Xbox 360,2010.0,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83.0,100.0,8.1,1156.0,Remedy Entertainment,T,Alan Wake,5/18/2010
419,419,The Elder Scrolls V: Skyrim,PS4,2016.0,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,,,,,,,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",10/28/2016
420,420,Skylanders SWAP Force,Xbox 360,2013.0,Platform,Activision,0.86,0.34,0.0,0.12,1.32,83.0,37.0,5.7,45.0,Vicarious Visions,E10+,Skylanders SWAP Force,10/13/2013
421,421,UFC Undisputed 2010,Xbox 360,2010.0,Fighting,THQ,0.9,0.31,0.0,0.11,1.32,84.0,70.0,6.7,80.0,Yuke's,T,"UFC Undisputed,UFC Undisputed 2010",5/25/2010
422,422,Assassin's Creed III: Liberation,Vita,2012.0,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70.0,71.0,7.2,318.0,Ubisoft,M,"Assassin's Creed,Assassin's Creed III,Liberation,Assassin's Creed III: Liberation",10/30/2012
423,423,Your Shape: Fitness Evolved,Xbox 360,2010.0,Sports,Ubisoft,0.79,0.41,0.0,0.11,1.32,73.0,32.0,7.5,25.0,Ubisoft Montreal,E,"Fitness Evolved,Your Shape,Your Shape: Fitness Evolved",11/4/2010
424,424,The ICO & Shadow of the Colossus Collection,PS3,2011.0,Adventure,Sony Computer Entertainment,0.67,0.34,0.13,0.17,1.31,,,,,,,The ICO & Shadow of the Colossus Collection,9/27/2011
425,425,MAG: Massive Action Game,PS3,2010.0,Shooter,Sony Computer Entertainment,0.77,0.29,0.09,0.16,1.31,,,,,,,"MAG: Massive Action Game,MAG,Massive Action Game",1/26/2010
426,426,Rage,PS3,2011.0,Shooter,Bethesda Softworks,0.47,0.58,0.06,0.2,1.31,81.0,37.0,6.2,353.0,id Software,M,Rage,10/4/2011
427,427,LEGO Harry Potter: Years 1-4,PS3,2010.0,Action,Warner Bros. Interactive Entertainment,0.55,0.55,0.0,0.21,1.31,79.0,42.0,8,52.0,Traveller's Tales,E10+,"LEGO Harry Potter: Years 1-4,Years 1-4,LEGO Harry Potter",6/29/2010
428,428,The Witcher 3: Wild Hunt,Xbox One,2015.0,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,13.0,9.2,3963.0,CD Projekt Red Studio,M,"Witcher,Wild Hunt,The Witcher 3,The Witcher 3: Wild Hunt",5/19/2015
429,429,Yoshi's Woolly World,Wii U,2015.0,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78.0,83.0,8.5,376.0,Good-Feel,E,Yoshi's Woolly World,10/16/2015
430,430,Skylanders Giants,Xbox 360,2012.0,Action,Activision,0.75,0.44,0.0,0.11,1.3,80.0,35.0,6.6,38.0,Toys for Bob,E10+,Skylanders Giants,10/21/2012
431,431,Assassin's Creed Syndicate,Xbox One,2015.0,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,Ubisoft Quebec,M,"Assassin's Creed,Assassin's Creed Syndicate",10/23/2015
432,432,Far Cry 4,PS3,2014.0,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,,,7.3,113.0,Ubisoft Montreal,M,"Far Cry,Far Cry 4",11/18/2014
433,433,Pokemon Ranger: Guardian Signs,DS,2010.0,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,68.0,25.0,8.2,25.0,Creatures Inc.,E,"Guardian Signs,Pokemon,Pokemon Ranger: Guardian Signs,Pokemon Ranger",10/4/2010
434,434,Crysis 2,PS3,2011.0,Action,Electronic Arts,0.46,0.56,0.06,0.21,1.29,85.0,54.0,7.2,406.0,Crytek,M,"Crysis 2,Crysis",3/22/2011
435,435,Dying Light,Xbox One,2015.0,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74.0,26.0,7.8,387.0,Techland,M,Dying Light,1/28/2015
436,436,Fallout 4,Windows,2015.0,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,Bethesda Game Studios,M,"Fallout 4,Fallout",11/10/2015
437,437,Sonic Colors,DS,2010.0,Platform,Sega,0.69,0.47,0.01,0.12,1.29,79.0,26.0,7.9,66.0,Dimps Corporation,E,"Sonic,Sonic Colors",11/16/2010
438,438,Assassin's Creed: Rogue,PS3,2014.0,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72.0,53.0,7.5,292.0,Ubisoft Sofia,M,"Assassin's Creed,Rogue,Assassin's Creed: Rogue",11/11/2014
439,439,The Elder Scrolls Online,Xbox One,2015.0,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,77.0,11.0,8.4,613.0,ZeniMax Media,M,"Elder Scrolls,The Elder Scrolls Online",6/9/2015
440,440,The LEGO Movie Videogame,Xbox 360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0.0,0.11,1.27,69.0,8.0,7.2,26.0,TT Games,E10+,The LEGO Movie Videogame,2/7/2014
441,441,Dark Souls II,PS3,2014.0,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91.0,69.0,8.1,1107.0,From Software,T,"Dark Souls II,Dark Souls",3/11/2014
442,442,Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.27,83.0,75.0,8.7,487.0,"Opus, Project Sora",E10+,"Uprising,Kid Icarus: Uprising,Kid Icarus",3/23/2012
444,444,Metal Gear Solid V: Ground Zeroes,PS4,2014.0,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75.0,70.0,6.2,1311.0,Kojima Productions,M,"Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V,MGS,Ground Zeroes",3/18/2014
445,445,WWE '12,Xbox 360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,71.0,52.0,6.3,89.0,Yuke's,T,"WWE '12,WWE",11/22/2011
446,446,WWE '13,Xbox 360,2012.0,Action,THQ,0.72,0.44,0.0,0.11,1.27,78.0,46.0,8,110.0,"THQ, Yuke's",T,"WWE '13,WWE",10/30/2012
448,448,Need for Speed Rivals,PS3,2013.0,Racing,Electronic Arts,0.33,0.69,0.05,0.19,1.27,80.0,6.0,4.9,123.0,Ghost Games,E10+,Need for Speed Rivals,11/15/2013
449,449,EA Sports Active 2,Wii,2010.0,Sports,Electronic Arts,0.76,0.39,0.0,0.11,1.26,79.0,8.0,8.1,22.0,EA Canada,E,"EA Sports Active 2,EA Sports Active",11/16/2010
450,450,Saints Row IV,PS3,2013.0,Action,Deep Silver,0.56,0.41,0.09,0.19,1.25,76.0,26.0,6.3,278.0,Volition Inc.,M,"Saints Row IV,Saints Row",8/20/2013
451,451,Watch Dogs,Xbox 360,2014.0,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25,,,5,332.0,Ubisoft Montreal,M,Watch Dogs,5/27/2014
452,452,LittleBigPlanet PS Vita,Vita,2012.0,Platform,Sony Computer Entertainment,0.35,0.61,0.02,0.27,1.25,88.0,71.0,8.6,348.0,"Tarsier Studios, Double Eleven",E,LittleBigPlanet PS Vita,9/19/2012
455,455,Madden NFL 17,Xbox One,2016.0,Sports,Electronic Arts,1.08,0.02,0.0,0.13,1.23,83.0,30.0,5.9,39.0,EA Sports,E,"Madden,Madden NFL,Madden NFL 17",8/23/2016
458,458,LEGO The Lord of the Rings,Xbox 360,2012.0,Action,Warner Bros. Interactive Entertainment,0.64,0.49,0.0,0.11,1.23,80.0,49.0,8.5,73.0,TT Games,E10+,LEGO The Lord of the Rings,10/30/2012
459,459,Hyrule Warriors,Wii U,2014.0,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,76.0,81.0,8.3,662.0,Omega Force,T,Hyrule Warriors,9/26/2014
462,462,Super Street Fighter IV: 3D Edition,3DS,2011.0,Fighting,Capcom,0.55,0.44,0.14,0.09,1.21,85.0,69.0,8.1,206.0,Capcom,T,"3D Edition,SFV,Super Street Fighter IV,Street Fighter,Super Street Fighter IV: 3D Edition",3/25/2011
463,463,WWE 2K16,PS4,2015.0,Sports,Take-Two Interactive,0.41,0.6,0.0,0.2,1.21,73.0,47.0,7.4,237.0,Yuke's,T,"WWE,WWE 2K16",10/27/2015
464,464,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010.0,Fighting,Namco Bandai Games,0.42,0.46,0.15,0.18,1.21,76.0,34.0,8.3,130.0,CyberConnect2,T,"Naruto Shippuden: Ultimate Ninja Storm 2,Naruto Shippuden,Naruto Shippuden: Ultimate Ninja Storm,Ultimate Ninja Storm 2,Naruto",10/19/2010
465,465,Battlefield: Hardline,Xbox One,2015.0,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71.0,27.0,5.1,299.0,Visceral Games,M,"Battlefield,Battlefield: Hardline,Hardline",3/17/2015
468,468,FIFA Soccer 11,PSP,2010.0,Sports,Electronic Arts,0.13,0.69,0.01,0.36,1.2,68.0,6.0,5.4,9.0,EA Sports,E,"FIFA Soccer,FIFA Soccer 11",9/28/2010
469,469,LEGO Batman 2: DC Super Heroes,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.5,0.5,0.0,0.19,1.19,81.0,28.0,7.5,81.0,Traveller's Tales,E10+,"Batman,DC Super Heroes,LEGO Batman 2: DC Super Heroes,LEGO Batman 2",6/19/2012
470,470,Captain Toad: Treasure Tracker,Wii U,2014.0,Puzzle,Nintendo,0.53,0.38,0.19,0.09,1.19,81.0,78.0,8.6,377.0,Nintendo EAD Tokyo,E,"Captain Toad: Treasure Tracker,Captain Toad,Treasure Tracker",12/5/2014
471,471,Destiny: The Taken King,Xbox One,2015.0,Shooter,Activision,0.85,0.23,0.0,0.12,1.19,89.0,11.0,5.2,393.0,"Bungie Software, Bungie",T,"Destiny: The Taken King,Destiny,The Taken King",9/15/2015
473,473,Injustice: Gods Among Us,PS3,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.48,0.5,0.01,0.2,1.18,78.0,37.0,7.9,282.0,NetherRealm Studios,T,"Injustice,Gods Among Us,Injustice: Gods Among Us",4/16/2013
474,474,Just Dance 4,Xbox 360,2012.0,Misc,Ubisoft,0.9,0.19,0.0,0.09,1.18,77.0,23.0,7.7,36.0,Ubisoft,E10+,"Just Dance 4,Just Dance",10/9/2012
476,476,Resident Evil: Operation Raccoon City,PS3,2012.0,Action,Capcom,0.48,0.24,0.36,0.1,1.17,52.0,36.0,4.9,222.0,Slant Six,M,"Operation Raccoon City,Resident Evil: Operation Raccoon City,Resident Evil",3/20/2012
477,477,WWE '12,PS3,2011.0,Fighting,THQ,0.53,0.45,0.02,0.17,1.17,72.0,28.0,6.9,80.0,Yuke's,T,"WWE '12,WWE",11/22/2011
479,479,Grand Theft Auto V,Windows,2015.0,Action,Take-Two Interactive,0.39,0.69,0.0,0.09,1.17,96.0,57.0,7.9,3756.0,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",4/14/2015
480,480,Fallout: New Vegas,Windows,2010.0,Role-Playing,Bethesda Softworks,0.59,0.45,0.0,0.14,1.17,84.0,39.0,8.6,2754.0,Obsidian Entertainment,M,"New Vegas,Fallout,Fallout: New Vegas",10/19/2010
481,481,LEGO Star Wars III: The Clone Wars,PS3,2011.0,Action,LucasArts,0.52,0.46,0.0,0.19,1.16,76.0,36.0,7.3,34.0,Traveller's Tales,E10+,"The Clone Wars,LEGO Star Wars III: The Clone Wars,LEGO Star Wars III,Star Wars",3/22/2011
485,485,Medal of Honor: Warfighter,Xbox 360,2012.0,Action,Electronic Arts,0.59,0.45,0.01,0.1,1.15,53.0,43.0,5.4,437.0,Danger Close,M,"Warfighter,Medal of Honor,Medal of Honor: Warfighter",10/23/2012
486,486,WWE 2K15,PS4,2014.0,Sports,Take-Two Interactive,0.39,0.57,0.0,0.19,1.15,62.0,44.0,5.1,164.0,Yuke's,T,"WWE 2K15,WWE",10/28/2014
487,487,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,1.14,74.0,22.0,7.5,121.0,Yuke's,T,"WWE 2K14,WWE",10/29/2013
489,489,Red Dead Redemption: Undead Nightmare,PS3,2010.0,Action,Take-Two Interactive,0.45,0.45,0.06,0.18,1.14,,,7.4,17.0,Rockstar San Diego,M,"Red Dead Redemption: Undead Nightmare,Red Dead Redemption,Red Dead,Undead Nightmare",10/26/2010
491,491,Sunset Overdrive,Xbox One,2014.0,Shooter,Microsoft Game Studios,0.63,0.4,0.0,0.1,1.14,81.0,89.0,7.7,1137.0,Insomniac Games,M,Sunset Overdrive,10/28/2014
492,492,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,79.0,60.0,8.2,201.0,CyberConnect2,T,"Naruto Shippuden,Ultimate Ninja Storm 4,Naruto Shippuden: Ultimate Ninja Storm,Naruto Shippuden: Ultimate Ninja Storm 4,Naruto",2/9/2016
493,493,Watch Dogs 2,PS4,2016.0,Action,Ubisoft,0.37,0.58,0.0,0.18,1.13,83.0,88.0,7.8,621.0,Ubisoft Montreal,M,"Watch Dogs,Watch Dogs 2",11/15/2016
494,494,LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action,LucasArts,0.61,0.43,0.0,0.09,1.13,67.0,25.0,6.1,31.0,Traveller's Tales,E10+,"The Clone Wars,LEGO Star Wars III: The Clone Wars,LEGO Star Wars III,Star Wars",3/22/2011
495,495,Alien: Isolation,PS4,2014.0,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.0,50.0,8.1,795.0,Creative Assembly,M,"Alien: Isolation,Alien,Isolation",10/7/2014
498,498,ModNation Racers,PS3,2010.0,Racing,Sony Computer Entertainment,0.5,0.4,0.06,0.16,1.12,82.0,85.0,8.4,201.0,United Front Games,E,ModNation Racers,5/25/2010
502,502,Crackdown 2,Xbox 360,2010.0,Shooter,Microsoft Game Studios,0.63,0.36,0.02,0.1,1.12,70.0,91.0,6,202.0,Ruffian Games,M,"Crackdown 2,Crackdown",7/9/2010
503,503,Dragon Age II,Xbox 360,2011.0,Action,Electronic Arts,0.72,0.29,0.01,0.09,1.11,79.0,75.0,4.5,2380.0,BioWare,M,"Dragon Age,Dragon Age II",3/8/2011
504,504,Fight Night Champion,PS3,2011.0,Fighting,Electronic Arts,0.45,0.49,0.0,0.18,1.11,84.0,52.0,7.3,95.0,EA Canada,M,Fight Night Champion,3/1/2011
505,505,Pikmin 3,Wii U,2013.0,Strategy,Nintendo,0.44,0.32,0.29,0.07,1.11,87.0,79.0,8.7,664.0,Nintendo,E10+,"Pikmin 3,Pikmin",8/4/2013
506,506,WWE 2K14,Xbox 360,2013.0,Sports,Take-Two Interactive,0.64,0.37,0.0,0.1,1.11,75.0,43.0,7.7,100.0,Yuke's,T,"WWE 2K14,WWE",10/29/2013
507,507,Dragon Ball: XenoVerse,PS4,2015.0,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11,69.0,50.0,7.7,598.0,Dimps Corporation,T,"Dragon Ball: XenoVerse,Dragon Ball,XenoVerse,Dragonball",2/24/2015
508,508,Castlevania: Lords of Shadow,PS3,2010.0,Action,Konami Digital Entertainment,0.5,0.35,0.1,0.15,1.1,85.0,62.0,8,468.0,Mercury Steam,M,"Castlevania: Lords of Shadow,Lords of Shadow,Castlevania",10/5/2010
509,509,Plants vs. Zombies,DS,2011.0,Strategy,Mastertronic,0.9,0.12,0.0,0.08,1.1,81.0,23.0,7.4,29.0,TOSE,E10+,Plants vs. Zombies,1/18/2011
511,511,LEGO City Undercover,Wii U,2013.0,Platform,Nintendo,0.47,0.42,0.13,0.08,1.1,80.0,66.0,8.2,283.0,TT Games,E10+,LEGO City Undercover,3/18/2013
512,512,NCAA Football 14,Xbox 360,2013.0,Sports,Electronic Arts,1.01,0.0,0.0,0.08,1.09,77.0,18.0,5.8,74.0,EA Tiburon,E,"NCAA Football 14,NCAA Football",7/9/2013
513,513,Project CARS,PS4,2015.0,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09,83.0,37.0,6.6,363.0,Slightly Mad Studios,E,Project CARS,5/6/2015
514,514,Sonic Free Riders,Xbox 360,2010.0,Racing,Sega,0.74,0.25,0.0,0.09,1.09,47.0,52.0,2.1,98.0,Sega,E,"Sonic Free Riders,Sonic",11/4/2010
515,515,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,1.09,74.0,42.0,6.9,41.0,Yuke's,T,"WWE SmackDown vs. Raw,WWE SmackDown vs. Raw 2011,WWE",10/26/2010
516,516,LEGO Star Wars III: The Clone Wars,DS,2011.0,Action,LucasArts,0.61,0.38,0.0,0.1,1.09,66.0,8.0,tbd,,Traveller's Tales,E,"The Clone Wars,LEGO Star Wars III: The Clone Wars,LEGO Star Wars III,Star Wars",3/22/2011
517,517,NCAA Football 13,Xbox 360,2012.0,Action,Electronic Arts,1.02,0.0,0.0,0.07,1.09,76.0,20.0,5.5,65.0,EA Tiburon,E,"NCAA Football 13,NCAA Football",7/10/2012
519,519,Toy Story 3: The Video Game,PS3,2010.0,Action,Disney Interactive Studios,0.51,0.4,0.0,0.16,1.08,,,,,,,"Toy Story 3: The Video Game,Toy Story 3,The Video Game",6/15/2010
520,520,Final Fantasy XIV: A Realm Reborn,PS3,2013.0,Role-Playing,Square Enix,0.37,0.3,0.28,0.13,1.08,,,,,,,"A Realm Reborn,Final Fantasy XIV,Final Fantasy XIV: A Realm Reborn,Final Fantasy",8/27/2013
521,521,Forza Horizon 3,Xbox One,2016.0,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08,91.0,90.0,7.4,594.0,Playground Games,E,"Forza Horizon,Forza Horizon 3",9/27/2016
522,522,Disney Infinity 2.0: Marvel Super Heroes,Xbox 360,2014.0,Action,Disney Interactive Studios,0.64,0.34,0.0,0.1,1.08,,,,,,,"Disney Infinity 2.0: Marvel Super Heroes,Marvel,Disney Infinity 2.0,Marvel Super Heroes",9/23/2014
523,523,Plants vs. Zombies: Garden Warfare,Xbox 360,2014.0,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08,69.0,6.0,7.3,121.0,PopCap,E10+,"Garden Warfare,Plants vs. Zombies: Garden Warfare,Plants vs. Zombies",2/25/2014
524,524,FIFA Soccer 11,Wii,2010.0,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.07,73.0,17.0,7.3,8.0,EA Sports,E,"FIFA Soccer,FIFA Soccer 11",9/28/2010
525,525,Marvel vs. Capcom 3: Fate of Two Worlds,Xbox 360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07,,,,,,,"Marvel vs. Capcom 3: Fate of Two Worlds,Marvel,Marvel vs. Capcom 3,Fate of Two Worlds",2/15/2011
526,526,Red Dead Redemption: Undead Nightmare,Xbox 360,2010.0,Action,Take-Two Interactive,0.57,0.38,0.02,0.1,1.07,,,7.6,18.0,Rockstar San Diego,M,"Red Dead Redemption: Undead Nightmare,Red Dead Redemption,Red Dead,Undead Nightmare",10/26/2010
528,528,Overwatch,Xbox One,2016.0,Shooter,Activision,0.63,0.33,0.0,0.1,1.06,91.0,18.0,5.6,668.0,Blizzard Entertainment,T,Overwatch,5/24/2016
530,530,Skylanders Giants,PS3,2012.0,Action,Activision,0.36,0.49,0.0,0.2,1.06,77.0,21.0,6.3,18.0,Toys for Bob,E10+,Skylanders Giants,10/21/2012
532,532,LEGO Marvel Super Heroes,Xbox One,2013.0,Action,Warner Bros. Interactive Entertainment,0.61,0.35,0.0,0.09,1.06,,,6.8,73.0,TT Games,E10+,"Marvel,LEGO Marvel Super Heroes",11/22/2013
534,534,LEGO The Lord of the Rings,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.37,0.49,0.0,0.19,1.05,82.0,16.0,8.3,85.0,TT Games,E10+,LEGO The Lord of the Rings,10/30/2012
535,535,EA Sports UFC,PS4,2014.0,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,70.0,57.0,6.1,279.0,EA Sports,T,EA Sports UFC,6/17/2014
538,538,Sonic & Sega All-Stars Racing,DS,2010.0,Racing,Sega,0.43,0.5,0.0,0.11,1.04,,,,,,,"Sonic & Sega All-Stars Racing,Sonic",2/23/2010
541,541,UFC Undisputed 3,PS3,2012.0,Action,THQ,0.55,0.32,0.03,0.13,1.03,86.0,30.0,7.4,92.0,Yuke's,T,"UFC Undisputed 3,UFC Undisputed",2/14/2012
542,542,LEGO Pirates of the Caribbean: The Video Game,Xbox 360,2011.0,Action,Disney Interactive Studios,0.54,0.39,0.0,0.09,1.03,73.0,54.0,7,31.0,Traveller's Tales,E10+,"LEGO Pirates of the Caribbean: The Video Game,LEGO Pirates of the Caribbean,The Video Game",5/10/2011
